city,state,zip,address,type,year built,heat type,cooling type,garage type,HOA cost,sqft,price per sqft,buyers fee,listing price
Oswego,OR,97035,4956-Park-Bluff-Pl-Lake,"Residential, single family residence",Built in 2023,"Forced air 90, fireplace(s)",Central air,2 Attached garage spaces,$500 annually HOA fee,"8,894 sqft",$539 price/sqft,2.5% buyers agency fee,2195000
Seattle,WA,98103,913-N-35th-St,Single family residence,Built in 1909,"Fireplace(s), baseboard, forced air",None,2 Garage spaces,0,"3,598 sqft",$562 price/sqft,3% buyers agency fee,1495000
Seattle,WA,98106,4536-Delridge-Way-SW,Single family residence,Built in 1948,Baseboard,None,None,0,"3,632 sqft",$758 price/sqft,2.5% buyers agency fee,485000
Seattle,WA,98115,8010-21st-Ave-NE,Single family residence,Built in 1931,"Fireplace(s), forced air",None,1 Attached garage space,0,"3,680 sqft",$534 price/sqft,2.50% buyers agency fee,950000
Tacoma,WA,98406,812-N-Steele-St,Single family residence,Built in 1910,Forced air,None,"Rv parking, driveway, off street",0,"3,750 sqft",$292 price/sqft,2.5% buyers agency fee,680000
Seattle,WA,98122,1638-21st-Ave,Single family residence,Built in 1900,"Fireplace(s), forced air",None,"Driveway, off street",0,"3,750 sqft",$738 price/sqft,2.5% buyers agency fee,1299000
Salem,OR,97302,754-Judson-St-SE,Single family residence,Built in 1929,"Natural gas, forced air",Central air,1 Garage space,0,"3,800 sqft",$226 price/sqft,2.5% buyers agency fee,485000
Tacoma,WA,98418,4202-S-Sheridan-Ave,Single family residence,Built in 1917,Forced air,None,2 Carport spaces,0,"3,841 sqft",$225 price/sqft,2.5% buyers agency fee,460000
Eugene,OR,97408,3266-Saint-Croix-St,"Residential, single family residence",Built in 1995,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,$100 annually HOA fee,"6,969 sqft",$277 price/sqft,2.5% buyers agency fee,710000
Portland,OR,97239,6601-SW-Parkhill-Dr,"Residential, single family residence",Built in 1991,Forced air,No data,No data,0,"3,920 sqft",$233 price/sqft,2.25% buyers agency fee,400000
Eugene,OR,97408,2983-Grand-Cayman-Dr,"Residential, single family residence",Built in 1998,"Forced air, other, fireplace(s)",Central air,2 Attached garage spaces,$100 annually HOA fee,"9,583 sqft",$304 price/sqft,2.5% buyers agency fee,919900
Portland,OR,97266,6308-SE-93rd-Ave,"Residential, single family residence",Built in 1914,"Forced air 90, fireplace(s)",No data,Open parking,0,"3,920 sqft",$211 price/sqft,2.25% buyers agency fee,489900
Portland,OR,97216,1141-SE-86th-Ave,"Residential, single family residence",Built in 1925,Baseboard,No data,Open parking,0,"3,920 sqft",$425 price/sqft,2.25% buyers agency fee,389900
Portland,OR,97215,2209-SE-47th-Ave,"Residential, single family residence",Built in 1913,"Forced air, fireplace(s)",Window unit(s),1 Garage space,0,"3,920 sqft",$358 price/sqft,2.5% buyers agency fee,575000
Beaverton,OR,97007,6792-SW-180th-Ave,Residential,Built in 1980,"Forced air, fireplace(s)",No data,2 Garage spaces,0,"3,920 sqft",$261 price/sqft,2.5% buyers agency fee,397000
Corvallis,OR,97333,140-SE-Mayberry-Ave,Single family residence,Built in 1947,"Natural gas, forced air",No data,No garage,0,"3,920 sqft",$280 price/sqft,2.5% buyers agency fee,300000
Seattle,WA,98112,1924-E-Blaine-St,Single family residence,Built in 1926,"Fireplace(s), forced air",None,1 Attached garage space,0,"3,937 sqft",$630 price/sqft,2.5% buyers agency fee,1650000
Seattle,WA,98109,2551-5th-Ave-N,Single family residence,Built in 1913,"Fireplace(s), baseboard, ductless hp-mini split, radiator",Ductless hp-mini split,None,0,"3,942 sqft",$639 price/sqft,2.5% buyers agency fee,2250000
Tacoma,WA,98418,1414-S-38th-St,Single family residence,Built in 1926,"Baseboard, ductless hp-mini split",Ductless hp-mini split,1 Garage space,0,"3,998 sqft",$363 price/sqft,2.5% buyers agency fee,379000
Seattle,WA,98118,9223-38th-Ave-S,Single family residence,Built in 1942,Wall furnace,None,Off street,0,"3,998 sqft",$607 price/sqft,2.5% buyers agency fee,425000
Seattle,WA,98133,12235-N-Park-Ave-N,Single family residence,Built in 1931,Forced air,Forced air,"Driveway, off street",0,"3,998 sqft",$491 price/sqft,3% buyers agency fee,899000
Springfield,OR,97478,40702-Potter-Creek-Ln,"Residential, single family residence",Built in 1935,Wood stove,No data,4 Garage spaces,0,3.56 Acres,$348 price/sqft,2.5% buyers agency fee,550000
Corvallis,OR,97333,29418-Highway-34,Single family residence,Built in 1935,Natural gas,No data,2 Garage spaces,0,30.50 Acres,$553 price/sqft,2.5% buyers agency fee,1350000
Seattle,WA,98122,1415-E-Denny-Way,Single family residence,Built in 1900,"Baseboard, forced air",None,1 Attached garage space,0,"4,051 sqft",$430 price/sqft,3.0% buyers agency fee,1499950
Seattle,WA,98108,2645-S-Morgan-St,Single family residence,Built in 1969,"Fireplace(s), 90%+ high efficiency, forced air",None,"Rv parking, driveway, off street",0,"4,068 sqft",$402 price/sqft,2.5% buyers agency fee,925000
Seattle,WA,98105,3420-NE-57th-St,Single family residence,Built in 2023,"Fireplace(s), ductless hp-mini split",Ductless hp-mini split,2 Attached garage spaces,0,"4,190 sqft",$804 price/sqft,2.5% buyers agency fee,2699950
Tacoma,WA,98407,4103-N-Orchard-St,Single family residence,Built in 2023,"Fireplace(s), forced air, heat pump",Other – see remarks,2 Garage spaces,0,"4,199 sqft",$468 price/sqft,2.5% buyers agency fee,1195000
Eugene,OR,97405,433-Brookside-Dr,"Residential, single family residence",Built in 1976,Other,None,2 Attached garage spaces,$223 annually HOA fee,"7,840 sqft",$260 price/sqft,2.5% buyers agency fee,491000
Tacoma,WA,98418,424-S-43rd-St,Single family residence,Built in 1921,"Fireplace(s), baseboard",None,2 Garage spaces,0,"4,199 sqft",$305 price/sqft,2.5% buyers agency fee,485000
Seattle,WA,98112,1218-16th-Ave-E,Single family residence,Built in 1904,"Fireplace(s), forced air",None,Garage,0,"4,199 sqft",$482 price/sqft,2% buyers agency fee,1499000
Portland,OR,97230,15518-NE-Tracey-Ln,"Residential, single family residence",Built in 2003,Forced air,No data,2 Attached garage spaces,0,"4,356 sqft",$276 price/sqft,2.25% buyers agency fee,464900
Portland,OR,97217,6805-N-Missouri-Ave,"Residential, single family residence",Built in 1924,"Forced air, fireplace(s)",Central air,1 Garage space,0,"4,356 sqft",$345 price/sqft,2.25% buyers agency fee,530000
Vancouver,WA,98685,317-NE-Bassel-Rd-3,"Residential, single family residence",Built in 2023,Forced air,Central air,3 Attached garage spaces,0,"4,356 sqft",$334 price/sqft,2.25% buyers agency fee,1000000
Portland,OR,97239,5515-SW-Corbett-Ave,"Residential, single family residence",Built in 1913,"Wall furnace, fireplace(s)",None,2 Attached garage spaces,0,"4,356 sqft",$366 price/sqft,2.5% buyers agency fee,625000
Eugene,OR,97401,2954-Edgewater-Dr,"Residential, single family residence",Built in 2000,"Forced air, fireplace(s)",Central air,4 Attached garage spaces,$130 monthly HOA fee,0.46 Acres,$425 price/sqft,2.5% buyers agency fee,1800000
Portland,OR,97202,1514-SE-Ellis-St,"Residential, single family residence",Built in 1903,Forced air 95 plus,Central air,Carport,0,"4,356 sqft",$366 price/sqft,2.5% buyers agency fee,849950
Eugene,OR,97405,430-Lochmoor-Pl,"Residential, single family residence",Built in 1975,"Ductless, mini split, fireplace(s)",Heat pump,2 Attached garage spaces,$96 annually HOA fee,"8,712 sqft",$266 price/sqft,2.5% buyers agency fee,699000
Beaverton,OR,97003,683-203rd-Pl,"Residential, townhouse",Built in 1994,Forced air,No data,2 Attached garage spaces,0,"4,356 sqft",$290 price/sqft,2.5% buyers agency fee,385000
Hillsboro,OR,97124,7329-NE-Shaleen-St,"Residential, single family residence",Built in 1999,"Forced air, fireplace(s)",Air conditioning ready,2 Attached garage spaces,0,"4,356 sqft",$348 price/sqft,2.5% buyers agency fee,569000
Eugene,OR,97408,2455-Mountain-Ter,"Residential, single family residence",Built in 2005,"Forced air, heat pump, fireplace(s)",No data,2 Attached garage spaces,$165 quarterly HOA fee,"3,049 sqft",$241 price/sqft,2.5% buyers agency fee,479000
Oswego,OR,97034,378-9th-St-Lake,"Residential, single family residence",Built in 2018,"Forced air, fireplace(s)",Central air,2 Garage spaces,0,"4,356 sqft",$669 price/sqft,2.5% buyers agency fee,1350000
Portland,OR,97203,8705-N-Foss-Ave,"Residential, single family residence",Built in 1943,Forced air,None,Open parking,0,"4,356 sqft",$276 price/sqft,3% buyers agency fee,295000
Salem,OR,97306,4960-Rankin-Ct,Single family residence,Built in 2023,"Natural gas, forced air",Central air,2 Attached garage spaces,0,"4,546 sqft",$301 price/sqft,2.5% buyers agency fee,569950
Seattle,WA,98109,2708-1st-Ave-W,Single family residence,Built in 2023,"Ductless hp-mini split, tankless water heater, wall furnace",Ductless hp-mini split,1 Attached garage space,0,"4,599 sqft",$812 price/sqft,3% buyers agency fee,928500
Tacoma,WA,98408,4828-S-Park-Ave,Single family residence,Built in 1914,Wall furnace,None,1 Garage space,0,"4,626 sqft",$321 price/sqft,2.5% buyers agency fee,444950
Salem,OR,97304,1243-6th-St-NW,Single family residence,Built in 2016,"Natural gas, forced air",Central air,2 Attached garage spaces,0,"4,725 sqft",$320 price/sqft,2.5% buyers agency fee,399900
Seattle,WA,98108,4524-12th-Ave-S,Single family residence,Built in 2022,"Fireplace(s), forced air, heat pump, tankless water heater",Central air,2 Attached garage spaces,0,"4,739 sqft",$388 price/sqft,2.5% buyers agency fee,1375000
Tacoma,WA,98405,1750-S-Anderson-St,Single family residence,Built in 1942,"Fireplace(s), ductless hp-mini split, forced air","Ductless hp-mini split, forced air",Off street,0,"4,782 sqft",$398 price/sqft,2.5% buyers agency fee,650000
Eugene,OR,97401,2261-Ridgeway-Dr,"Residential, condominium, townhouse",Built in 1978,Forced air,Heat pump,1 Attached garage space,$340 monthly HOA fee,No data,$315 price/sqft,2.5% buyers agency fee,315000
Eugene,OR,97405,3226-Bentley-Ave,"Residential, single family residence",Built in 2019,"Forced air, heat pump, mini split",Central air,2 Attached garage spaces,$50 monthly HOA fee,0.32 Acres,$297 price/sqft,2.5% buyers agency fee,730000
Eugene,OR,97401,1500-Norkenzie-Rd-APT-54,"Residential, condominium, townhouse",Built in 1971,"Heat pump, fireplace(s)",Heat pump,2 Garage spaces,$352 monthly HOA fee,No data,$270 price/sqft,2.5% buyers agency fee,380000
Portland,OR,97213,3700-NE-42nd-Ave,"Residential, single family residence",Built in 1925,"Wall furnace, fireplace(s)",No data,1 Attached garage space,0,"4,791 sqft",$466 price/sqft,2.25% buyers agency fee,399000
Portland,OR,97211,514-NE-Jarrett-St,"Residential, single family residence",Built in 1910,Forced air,No data,Open parking,0,"4,791 sqft",$266 price/sqft,2.25% buyers agency fee,499500
Eugene,OR,97403,2755-Pinerock-Dr,"Residential, single family residence",Built in 2004,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,$130 annually HOA fee,"1,742 sqft",$309 price/sqft,2.5% buyers agency fee,670000
Portland,OR,97212,3835-NE-Cleveland-Ave,"Residential, single family residence",Built in 1890,Forced air,No data,No data,0,"4,791 sqft",$216 price/sqft,2.25% buyers agency fee,499500
Milwaukie,OR,97222,9504-SE-77th-Ave,"Residential, single family residence",Built in 1930,Wall furnace,No data,1 Garage space,0,"4,791 sqft",$202 price/sqft,2.25% buyers agency fee,222500
Vancouver,WA,98660,709-W-Fourth-Plain-Blvd,"Residential, single family residence",Built in 1916,"Ductless, mini split, zoned",Other,Open parking,0,"4,791 sqft",$321 price/sqft,2.25% buyers agency fee,699500
Portland,OR,97214,2240-SE-20th-Ave,"Residential, single family residence",Built in 1926,"Forced air, fireplace(s)",Central air,2 Garage spaces,0,"4,791 sqft",$191 price/sqft,2.35% buyers agency fee,850000
Eugene,OR,97403,2177-Majestic-Pl,"Residential, single family residence",Built in 2023,Forced air,Central air,2 Attached garage spaces,$500 annually HOA fee,0.27 Acres,$508 price/sqft,2.5% buyers agency fee,1375000
Portland,OR,97218,4139-NE-62nd-Ave,"Residential, single family residence",Built in 1928,Mini split,Heat pump,Open parking,0,"4,791 sqft",$280 price/sqft,2.5% buyers agency fee,295000
Portland,OR,97211,3917-NE-Skidmore-St,"Residential, single family residence",Built in 1929,Forced air,No data,2 Garage spaces,0,"4,791 sqft",$240 price/sqft,2.5% buyers agency fee,549950
Portland,OR,97220,4715-NE-110th-Ave,"Residential, single family residence",Built in 1928,"Baseboard, mini split",Other,Open parking,0,"4,791 sqft",$168 price/sqft,2.5% buyers agency fee,365000
Portland,OR,97203,4907-N-Amherst-St,"Residential, single family residence",Built in 1904,"Forced air, fireplace(s)",Central air,Open parking,0,"4,791 sqft",$280 price/sqft,2.5% buyers agency fee,799900
Springfield,OR,97477,3501-Falcon-Dr,"Residential, single family residence",Built in 2002,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,$60 annually HOA fee,"8,276 sqft",$320 price/sqft,2.5% buyers agency fee,549000
Portland,OR,97206,3725-SE-71st-Ave,"Residential, single family residence",Built in 1978,"Forced air 90, fireplace(s)",Central air,2 Attached garage spaces,0,"4,791 sqft",$475 price/sqft,2.5% buyers agency fee,495000
Portland,OR,97213,1507-NE-53rd-Ave,"Residential, single family residence",Built in 1923,"Forced air, fireplace(s)",No data,1 Garage space,0,"4,791 sqft",$252 price/sqft,2.5% buyers agency fee,520000
Portland,OR,97212,3950-NE-14th-Ave,"Residential, single family residence",Built in 2013,"Forced air 90, mini split, fireplace(s)",Central air,2 Attached garage spaces,0,"4,791 sqft",$351 price/sqft,2.5% buyers agency fee,1249000
Portland,OR,97209,2069-NW-Overton-St,"Residential, single family residence",Built in 1902,"Forced air, fireplace(s)",Central air,Open parking,0,"4,791 sqft",$329 price/sqft,2.5% buyers agency fee,1295000
Milwaukie,OR,97222,10561-SE-34th-Ave,"Residential, single family residence",Built in 1912,"Forced air, forced air 95 plus",No data,1 Garage space,0,"4,791 sqft",$248 price/sqft,2.5% buyers agency fee,499000
Oswego,OR,97034,503-Laurel-St-Lake,"Residential, single family residence",Built in 2022,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,"4,791 sqft",$441 price/sqft,2.5% buyers agency fee,1399000
Eugene,OR,97404,1371-Tirion-Ave,"Residential, single family residence",Built in 2021,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,"4,791 sqft",$338 price/sqft,2.5% buyers agency fee,474900
Eugene,OR,97405,660-Fox-Pine-Ln,"Residential, single family residence",Built in 2019,Forced air,Central air,2 Attached garage spaces,0,"4,791 sqft",$316 price/sqft,2.5% buyers agency fee,570000
Eugene,OR,97404,201-Sunnyside-Dr,"Residential, single family residence",Built in 1928,"Ductless, heat pump",Heat pump,2 Garage spaces,0,"4,791 sqft",$215 price/sqft,2.5% buyers agency fee,429000
Eugene,OR,97401,2325-Sandy-Dr,"Residential, single family residence",Built in 2023,"Forced air, heat pump",No data,2 Attached garage spaces,0,"4,791 sqft",$392 price/sqft,2.5% buyers agency fee,639900
Springfield,OR,97477,808-Water-St,"Residential, single family residence",Built in 1935,Wall furnace,None,1 Garage space,0,"4,791 sqft",$278 price/sqft,2.5% buyers agency fee,299000
Salem,OR,97304,1560-Elm-St-NW,Single family residence,Built in 1920,"Natural gas, forced air",Central air,1 Garage space,0,"4,792 sqft",$387 price/sqft,2% buyers agency fee,324900
Seattle,WA,98108,3819-14th-Ave-S,Single family residence,Built in 1942,Forced air,Forced air,1 Garage space,0,"4,800 sqft",$473 price/sqft,2.5% buyers agency fee,530000
Seattle,WA,98118,5129-S-Orchard-St,Single family residence,Built in 1910,Forced air,"Forced air, heat pump",1 Garage space,0,"4,800 sqft",$312 price/sqft,2.5% buyers agency fee,749950
Tacoma,WA,98405,2133-Martin-Luther-King-Jr-Way,Single family residence,Built in 1908,Forced air,None,Off street,0,"4,874 sqft",$276 price/sqft,2.5% buyers agency fee,475000
Seattle,WA,98122,2814-E-Marion-St,Single family residence,Built in 2023,"Fireplace(s), ductless hp-mini split, heat pump, high efficiency (unspecified), insert, radiant, tankless water heater","Ductless hp-mini split, heat pump, high efficiency (unspecified)",4 Attached garage spaces,0,"4,891 sqft",$766 price/sqft,2.5% buyers agency fee,2795000
Springfield,OR,97477,568-Ethan-Ct,"Residential, single family residence",Built in 2007,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,$20 annually HOA fee,"5,227 sqft",$279 price/sqft,2.5% buyers agency fee,630000
Salem,OR,97306,605-Jared-Valley-St-SE,Single family residence,Built in 2022,"Natural gas, forced air",Central air,2 Attached garage spaces,0,"4,967 sqft",$323 price/sqft,2.25% buyers agency fee,489900
Vancouver,WA,98683,3347-SE-Riverwood-Ln,"Residential, single family residence",Built in 2003,"Forced air, fireplace(s)",Central air,4 Attached garage spaces,0,4.15 Acres,$726 price/sqft,2.25% buyers agency fee,6500000
Portland,OR,97229,11519-NW-Laidlaw-Rd,"Residential, single family residence",Built in 1942,Wood stove,No data,No data,0,4.41 Acres,$651 price/sqft,2.5% buyers agency fee,779000
Springfield,OR,97478,87987-Running-Spring-Dr,"Residential, single family residence",Built in 1979,"Ductless, forced air, wood stove",Heat pump,3 Attached garage spaces,0,4.50 Acres,$310 price/sqft,2.5% buyers agency fee,925000
Vancouver,WA,98686,10206-NE-50th-Ave,"Residential, single family residence",Built in 1955,"Forced air, heat pump, wood stove, fireplace(s)",Heat pump,1 Garage space,0,4.82 Acres,$332 price/sqft,2.25% buyers agency fee,835000
Salem,OR,97302,2280-Kuebler-Rd-S,Single family residence,Built in 1974,"Electric, heat pump, forced air",No data,2 Attached garage spaces,0,4.96 Acres,$390 price/sqft,2.5% buyers agency fee,1500000
Eugene,OR,97402,28393-Royal-Ave,"Residential, single family residence",Built in 1964,"Ductless, zoned, fireplace(s)",No data,2 Garage spaces,0,41.86 Acres,$448 price/sqft,2.5% buyers agency fee,1250000
Salem,OR,97302,1940-E-Nob-Hill-St-SE,Single family residence,Built in 1928,"Natural gas, forced air",Central air,1 Garage space,0,"5,000 sqft",$302 price/sqft,2.5% buyers agency fee,435000
Corvallis,OR,97333,4842-SW-Aster-St,Single family residence,Built in 1996,"Natural gas, forced air",Central air,2 Attached garage spaces,$120 annually HOA fee,"5,663 sqft",$347 price/sqft,2.5% buyers agency fee,524900
Salem,OR,97302,1125-14th-St-SE,Single family residence,Built in 1910,"Natural gas, floor furnace",No data,1 Garage space,0,"5,000 sqft",$179 price/sqft,2.5% buyers agency fee,225000
Corvallis,OR,97333,4884-SW-Hollyhock-Cir,Single family residence,Built in 1999,Natural gas,No data,2 Attached garage spaces,$170 monthly HOA fee,"5,227 sqft",$312 price/sqft,2.5% buyers agency fee,520000
Tacoma,WA,98404,416-E-64th-St,Single family residence,Built in 1912,Baseboard,None,2 Garage spaces,0,"5,000 sqft",$269 price/sqft,2.5% buyers agency fee,499950
Tacoma,WA,98405,2229-S-19th-St,Single family residence,Built in 2000,"Baseboard, heat pump",None,Driveway,0,"5,000 sqft",$241 price/sqft,2.5% buyers agency fee,495000
Seattle,WA,98144,1701-16th-Ave-S-APT-C,Townhouse,Built in 2007,No data,No data,1 Attached garage space,0,"5,000 sqft",$451 price/sqft,2.5% buyers agency fee,535000
Seattle,WA,98118,3829-S-Orcas-St,Single family residence,Built in 1920,"90%+ high efficiency, forced air","90%+ high efficiency, central air, forced air",Off street,0,"5,148 sqft",$409 price/sqft,3% buyers agency fee,785000
Seattle,WA,98119,812-W-Barrett-St,Single family residence,Built in 1929,"Fireplace(s), forced air",None,1 Attached garage space,0,"5,157 sqft",$463 price/sqft,2.5% buyers agency fee,1495000
Seattle,WA,98106,7737-16th-Ave-SW,Single family residence,Built in 1918,Forced air,Forced air,"Driveway, off street",0,"5,161 sqft",$384 price/sqft,2.5% buyers agency fee,895000
Tacoma,WA,98444,8620-S-Asotin-St,Single family residence,Built in 1996,"Fireplace(s), forced air",None,2 Attached garage spaces,0,"5,188 sqft",$242 price/sqft,2.5% buyers agency fee,489900
Portland,OR,97266,8941-SE-Knapp-St,"Residential, single family residence",Built in 1979,"Zoned, fireplace(s)",None,2 Attached garage spaces,0,"5,227 sqft",$318 price/sqft,2.25% buyers agency fee,399993
Portland,OR,97219,1507-SW-Dolph-St,"Residential, single family residence",Built in 1960,"Forced air, fireplace(s)",Central air,1 Attached garage space,0,"5,227 sqft",$285 price/sqft,2.25% buyers agency fee,650000
Portland,OR,97202,1205-SE-Marion-St,"Residential, single family residence",Built in 1922,Forced air,None,1 Garage space,0,"5,227 sqft",$336 price/sqft,2.25% buyers agency fee,768000
Portland,OR,97206,5256-SE-Flavel-St,"Residential, single family residence",Built in 1940,Forced air,No data,No data,0,"5,227 sqft",$259 price/sqft,2.25% buyers agency fee,575000
Portland,OR,97217,1617-N-Farragut-St,"Residential, single family residence",Built in 1960,Radiant,None,1 Attached garage space,0,"5,227 sqft",$391 price/sqft,2.25% buyers agency fee,399999
Portland,OR,97236,14147-SE-Center-St,"Residential, single family residence",Built in 2000,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,"5,227 sqft",$351 price/sqft,2.25% buyers agency fee,440000
Beaverton,OR,97007,16495-SW-Marcile-Ln,"Residential, single family residence",Built in 2000,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,"5,227 sqft",$230 price/sqft,2.25% buyers agency fee,749000
Hillsboro,OR,97123,6132-SE-Sierra-St,"Residential, single family residence",Built in 2003,Forced air,Central air,2 Attached garage spaces,0,"5,227 sqft",$305 price/sqft,2.25% buyers agency fee,610000
Vancouver,WA,98685,14501-NW-2nd-Ct,"Residential, single family residence",Built in 1998,Forced air,No data,2 Garage spaces,0,"5,227 sqft",$323 price/sqft,2.25% buyers agency fee,549900
Vancouver,WA,98682,13812-NE-78th-St,"Residential, single family residence",Built in 2018,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,"5,227 sqft",$321 price/sqft,2.25% buyers agency fee,585000
Portland,OR,97212,2105-NE-Klickitat-St,"Residential, single family residence",Built in 1939,"Forced air 90, fireplace(s)",Central air,2 Garage spaces,0,"5,227 sqft",$315 price/sqft,2.5% buyers agency fee,950000
Portland,OR,97217,6314-N-Commercial-Ave,"Residential, single family residence",Built in 1924,"Energy star qualified equipment, forced air, heat pump",Central air,1 Garage space,0,"5,227 sqft",$278 price/sqft,2.5% buyers agency fee,889000
Portland,OR,97202,6413-SE-22nd-Ave,"Residential, single family residence",Built in 1923,"Forced air, forced air 95 plus, fireplace(s)",Central air,Open parking,0,"5,227 sqft",$391 price/sqft,2.5% buyers agency fee,785000
Portland,OR,97221,4780-SW-Pendleton-St,"Residential, single family residence",Built in 2023,"Forced air 95 plus, fireplace(s)",Central air,2 Attached garage spaces,0,"5,227 sqft",$382 price/sqft,2.5% buyers agency fee,1195000
Portland,OR,97213,3346-NE-81st-Ave,"Residential, single family residence",Built in 1910,"Ductless, mini split, heat pump",No data,Open parking,0,"5,227 sqft",$373 price/sqft,2.5% buyers agency fee,499000
Salem,OR,97304,2896-Twin-Oak-Pl-NW,Single family residence,Built in 1978,"Electric, heat pump",No data,2 Attached garage spaces,"$1,215 annually HOA fee","5,500 sqft",$249 price/sqft,2.5% buyers agency fee,385000
Portland,OR,97212,2336-NE-11th-Ave,"Residential, single family residence",Built in 1910,"Forced air 90, zoned, fireplace(s)",Central air,Open parking,0,"5,227 sqft",$267 price/sqft,2.5% buyers agency fee,899900
Portland,OR,97214,2214-SE-34th-Ave,"Residential, single family residence",Built in 1907,Forced air,No data,Open parking,0,"5,227 sqft",$331 price/sqft,2.5% buyers agency fee,699000
Portland,OR,97202,3818-SE-Tolman-St,"Residential, single family residence",Built in 1928,"Forced air 95 plus, fireplace(s)",Central air,1 Garage space,0,"5,227 sqft",$321 price/sqft,2.5% buyers agency fee,750000
Salem,OR,97301,380-Lost-Lake-St-NE-LOT-192,Single family residence,Built in 2023,"Natural gas, forced air",Central air,2 Attached garage spaces,$35 monthly HOA fee,"3,535 sqft",$238 price/sqft,2.5% buyers agency fee,447995
Salem,OR,97304,1804-Settlers-Spring-Dr-NW,Single family residence,Built in 2013,"Natural gas, forced air",Central air,2 Attached garage spaces,$175 annually HOA fee,"6,800 sqft",$287 price/sqft,2.5% buyers agency fee,644900
Portland,OR,97215,736-SE-45th-Ave,"Residential, single family residence",Built in 1911,Forced air,None,Open parking,0,"5,227 sqft",$289 price/sqft,2.5% buyers agency fee,650000
Portland,OR,97202,8725-SE-19th-Ave,"Residential, single family residence",Built in 1908,Mini split,Energy star qualified equipment,Open parking,0,"5,227 sqft",$446 price/sqft,2.5% buyers agency fee,549900
Portland,OR,97215,7936-SE-Salmon-St,"Residential, single family residence",Built in 1906,"Forced air, fireplace(s)",No data,2 Garage spaces,0,"5,227 sqft",$196 price/sqft,2.5% buyers agency fee,585000
Portland,OR,97203,8161-N-Druid-Ave,"Residential, single family residence",Built in 1904,Forced air,No data,2 Garage spaces,0,"5,227 sqft",$321 price/sqft,2.5% buyers agency fee,479900
Portland,OR,97203,7907-N-Hereford-Ave,"Residential, single family residence",Built in 1904,Forced air 95 plus,Air conditioning ready,1 Garage space,0,"5,227 sqft",$247 price/sqft,2.5% buyers agency fee,449000
Portland,OR,97212,2336-NE-22nd-Ave,"Residential, single family residence",Built in 1910,"Forced air, fireplace(s)",Central air,1 Attached garage space,0,"5,227 sqft",$446 price/sqft,2.5% buyers agency fee,1795000
Beaverton,OR,97005,5640-SW-Stott-Ave,"Residential, single family residence",Built in 2007,"Forced air, fireplace(s)",Central air,3 Attached garage spaces,0,"5,227 sqft",$294 price/sqft,2.5% buyers agency fee,779000
Beaverton,OR,97005,12670-SW-3rd-St,"Residential, single family residence",Built in 1952,"Baseboard, ductless",Wall unit(s),1 Garage space,0,"5,227 sqft",$567 price/sqft,2.5% buyers agency fee,749000
Eugene,OR,97401,3080-Willakenzie-Rd,"Residential, single family residence",Built in 1946,"Ductless, zoned, fireplace(s)",Heat pump,Open parking,0,"5,227 sqft",$237 price/sqft,2.5% buyers agency fee,465000
Salem,OR,97306,501-Grandover-Ct-SE,Single family residence,Built in 2014,"Natural gas, forced air",No data,2 Attached garage spaces,$49 monthly HOA fee,"9,764 sqft",$270 price/sqft,2.5% buyers agency fee,595000
Salem,OR,97306,5933-Ballymeade-St-SE,Single family residence,Built in 2001,"Natural gas, forced air",Central air,3 Attached garage spaces,$49 monthly HOA fee,"6,098 sqft",$228 price/sqft,2.5% buyers agency fee,579000
Eugene,OR,97402,930-W-12th-Aly,"Residential, single family residence",Built in 2020,Heat pump,Heat pump,2 Attached garage spaces,0,"5,227 sqft",$338 price/sqft,2.5% buyers agency fee,500000
Salem,OR,97302,1513-Leslie-Wind-Ln-SE,Single family residence,Built in 2023,"Electric, heat pump, zoned",No data,2 Attached garage spaces,$75 monthly HOA fee,"5,200 sqft",$395 price/sqft,2.5% buyers agency fee,729000
Salem,OR,97304,1794-Settlers-Spring-St,Single family residence,Built in 2010,"Natural gas, forced air",Central air,3 Attached garage spaces,$175 annually HOA fee,"6,970 sqft",$286 price/sqft,2.5% buyers agency fee,659900
Eugene,OR,97403,1588-Walnut-St,"Residential, single family residence",Built in 2019,"Forced air, heat pump",Heat pump,3 Attached garage spaces,0,"5,227 sqft",$456 price/sqft,2.5% buyers agency fee,899900
Springfield,OR,97478,236-S-71st-St,"Residential, single family residence",Built in 1982,"Heat pump, fireplace(s)",Central air,2 Attached garage spaces,0,"5,227 sqft",$366 price/sqft,2.5% buyers agency fee,375000
Salem,OR,97306,528-Creekside-Dr-SE,Single family residence,Built in 1997,"Natural gas, forced air",Central air,2 Attached garage spaces,$49 monthly HOA fee,"5,200 sqft",$257 price/sqft,2.5% buyers agency fee,619000
