city,state,zip,address,type,year built,heat type,cooling type,garage type,HOA cost,sqft,price per sqft,buyers fee,listing price
Portland,OR,97224,15639-SW-Missouri-Ave,"Residential, single family residence",Built in 2023,Forced air 95 plus,No data,2 Attached garage spaces,$72 monthly HOA fee,No data,$256 price/sqft,2.25% buyers agency fee,816000
Seattle,WA,98115,6839-35th-Ave-NE-A,Condominium,Built in 2023,Ductless hp-mini split,Ductless hp-mini split,1 Parking space,0,$51 monthly HOA fee,$730 price/sqft,2.5% buyers agency fee,1050000
Tigard,OR,97224,14946-SW-109th-Ave,"Residential, condominium",Built in 1979,"Baseboard, fireplace(s)",Window unit(s),1 Garage space,0,$516 monthly HOA fee,$233 price/sqft,2.25% buyers agency fee,310000
Portland,OR,97205,1221-SW-10th-Ave-UNIT-108,"Residential, condominium",Built in 2006,Heat pump,Central air,1 Attached garage space,0,$528 monthly HOA fee,$453 price/sqft,2.5% buyers agency fee,349950
Seattle,WA,98121,2720-3rd-Ave-APT-907,Condominium,Built in 2008,Forced air,Central air,1 Garage space,0,$548 monthly HOA fee,$805 price/sqft,2.5% buyers agency fee,450000
Oswego,OR,97035,92-Cervantes-Cir-Lake,"Residential, condominium, townhouse",Built in 1980,"Ductless, mini split, fireplace(s)",Heat pump,1 Garage space,$536 monthly HOA fee,No data,$317 price/sqft,2.25% buyers agency fee,289000
Seattle,WA,98104,668-S-Lane-St-APT-614,Condominium,Built in 2002,Baseboard,None,1 Garage space,0,$549 monthly HOA fee,$515 price/sqft,2.5% buyers agency fee,439950
Seattle,WA,98116,3055-Alki-Ave-SW-3055A,Condominium,Built in 1985,"Fireplace(s), radiant",Radiant,1 Garage space,0,$575 monthly HOA fee,"$1,009 price/sqft",2.5% buyers agency fee,1295000
Olympia,WA,98502,1910-Evergreen-Park-Dr-SW-APT-501,Condominium,Built in 1973,No data,Ductless hp-mini split,1 Garage space,0,$603 monthly HOA fee,$249 price/sqft,2.5% buyers agency fee,293000
Tacoma,WA,98418,3201-Pacific-Ave-UNIT-208,Condominium,Built in 2002,Forced air,Central air,2 Garage spaces,0,$613 monthly HOA fee,$321 price/sqft,2.5% buyers agency fee,425000
Oswego,OR,97034,1617-Lake-Front-Rd-Lake,"Residential, single family residence",Built in 2000,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,"$2,371 annually HOA fee","7,405 sqft","$1,247 price/sqft",2.25% buyers agency fee,5750000
Hillsboro,OR,97124,1425-NE-61st-Ave-APT-308,"Residential, condominium",Built in 2001,Forced air,Central air,1 Garage space,0,$617 monthly HOA fee,$384 price/sqft,2.25% buyers agency fee,319900
Oswego,OR,97034,18100-Bryant-Rd-Lake,"Residential, single family residence",Built in 1955,"Baseboard, forced air, fireplace(s)",Central air,2 Attached garage spaces,"$2,371 annually HOA fee","8,712 sqft",$674 price/sqft,2.25% buyers agency fee,959900
Oswego,OR,97035,63-Garibaldi-St-Lake,"Residential, single family residence",Built in 1993,"Forced air, zoned, fireplace(s)",Central air,2 Attached garage spaces,$526 semi-annually HOA fee,0.30 Acres,$266 price/sqft,2.25% buyers agency fee,1125000
Seattle,WA,98101,1415-2nd-Ave-UNIT-705,Condominium,Built in 1991,Forced air,Forced air,1 Garage space,0,$631 monthly HOA fee,$806 price/sqft,2.5% buyers agency fee,485000
Seattle,WA,98101,819-Virginia-St-UNIT-1909,Condominium,Built in 2007,Forced air,Central air,1 Garage space,0,$640 monthly HOA fee,$695 price/sqft,2.5% buyers agency fee,499950
Vancouver,WA,98660,300-W-8th-St-UNIT-302,Condominium,Built in 2000,"Fireplace(s), forced air, heat pump",Central air,1 Garage space,0,$650 monthly HOA fee,$525 price/sqft,2.0% buyers agency fee,499000
Vancouver,WA,98660,300-W-8th-St-UNIT-418,"Residential, condominium",Built in 2000,"Heat pump, fireplace(s)",Heat pump,1 Attached garage space,0,$650 monthly HOA fee,$470 price/sqft,2.25% buyers agency fee,475000
Seattle,WA,98122,1408-12th-Ave-UNIT-501,Condominium,Built in 2007,"Ductless hp-mini split, wall furnace",Ductless hp-mini split,2 Garage spaces,0,$650 monthly HOA fee,"$1,026 price/sqft",2.5% buyers agency fee,1245000
Portland,OR,97205,2245-SW-Park-Pl-UNIT-4C,"Residential, condominium",Built in 1983,Forced air 90,Wall unit(s),"Deeded, secured, condo garage (deeded), shared garage",0,$656 monthly HOA fee,$429 price/sqft,2.5% buyers agency fee,435000
Troutdale,OR,97060,616-SE-40th-St,"Residential, single family residence",Built in 1976,Forced air 90,Central air,2 Attached garage spaces,$265 annually HOA fee,"8,276 sqft",$245 price/sqft,2.25% buyers agency fee,425000
